Protein accession,Gene name,FY_1,FY_2,FY_3,FY_4,MY_1,MY_2,MY_3,MY_4,FV_1,FV_2,FV_3,FV_4,MV_1,MV_2,MV_3,MV_4,FWT_1,FWT_2,FWT_3,FWT_4,MWT_1,MWT_2,MWT_3,MWT_4,FGES_1,FGES_2,FGES_3,FGES_4,MGES_1,MGES_2,MGES_3,MGES_4
A0A2K5W0I4,FER,0.499616349,0.415942705,0.471698304,0.406059244,1.470709954,1.465778435,1.430639109,1.45305019,1.186171511,1.270163511,1.292226203,1.210240448,0.815917139,1.008997226,0.938322129,0.973155113,1.232140958,1.013261998,1.147542279,1.105855625,1.213201762,1.240922786,1.338165616,1.33674803,1.110156439,0.809640114,0.917683031,1.002161575,0.483905766,0.506451999,0.693842518,0.539631932
A0A2K5W2Z2,CUL3,0.733762423,0.884625306,0.794723811,0.757493106,0.690282119,0.794770003,0.879489446,0.869070597,1.057064959,0.794900025,1.022131875,1.203738062,1.277157587,1.166002666,1.215284336,1.352501778,1.030903211,1.186643621,1.001969947,0.992148172,0.91557904,1.07580349,0.95519975,0.99778701,0.935556199,0.96513444,1.033905687,1.036292271,1.078444985,1.100950725,1.169747635,1.030935717
A0A2K5W359,AKR1A1,0.72873472,0.621114096,0.483400392,0.557352132,1.751741528,1.61148959,1.601499786,1.697091423,1.085257584,1.04456163,1.084889215,1.172122395,1.086441626,1.107315843,1.252944208,1.309348448,1.168973721,1.245050596,1.186751888,1.228816068,0.96958109,0.845046211,0.896889698,0.88943462,1.103070834,0.826773377,0.827975837,0.966537665,0.349672963,0.39586901,0.351884929,0.552366878
A0A2K5W636,STAT1,0.773159242,0.544231155,0.694223396,0.370187427,1.089291297,0.763004834,1.214253574,1.287247896,1.415183653,1.095450261,1.316999007,1.295225194,0.945433559,0.978310358,1.05361497,0.768690867,1.126378262,1.08108297,1.057808827,0.957047527,1.385174333,1.239710262,1.532956848,1.488245924,0.868237226,0.627056444,0.958931094,0.932235003,0.535060659,0.703747231,,0.901820702
A0A2K5W637,--,0.804334249,0.872643459,0.835342406,0.829907199,1.440561714,1.520928722,1.36499919,1.43149746,1.379035166,1.266568181,1.279335543,1.276375445,1.04469943,1.109534884,0.904989513,0.999760418,0.962963466,0.934069665,0.969497661,1.081235969,0.892475396,0.881874949,0.937127715,0.928149469,0.7776432,0.764515084,0.882023074,0.897346775,0.742743195,0.687098617,0.723109554,0.577613232
A0A2K5W6F0,EZR,0.441603479,0.451731964,0.347977509,0.441330224,1.321263276,1.20482566,1.327842022,1.234886301,0.974899519,1.149723506,1.194573437,0.876744217,1.049977653,1.396186738,1.175700788,1.18002389,1.035332725,1.05768551,1.140198245,1.061853939,0.792927075,0.799237721,0.773701257,0.783896766,1.104551341,1.373406025,1.217184009,1.266181746,1.081948502,0.952237389,0.845085291,0.945282273
A0A2K5W8H0,B4GALT1,0.711041778,,0.943811694,,1.209698438,1.092775675,1.515020222,1.342149818,,,,,0.707671535,1.081688928,0.472061213,1.127896325,1.057101286,,1.031724863,0.657846901,0.944743889,1.02803592,0.816120883,1.260610632,,,,,,,,
A0A2K5W9L0,RUVBL1,0.817854565,1.019955838,0.833003021,0.957626133,0.821205764,0.761091609,0.757737818,0.894224303,0.863031577,1.014045542,0.858691224,1.048022939,1.331495468,1.138207135,1.054499762,1.238754767,0.697173812,0.932142761,0.809348872,0.70216107,1.223420926,1.569488923,1.469912295,1.546892638,0.837933237,0.99964511,1.267926402,1.265047093,0.936529785,0.700456301,0.697517358,0.934955953
A0A2K5WB74,ROCK1,0.568180381,0.602782289,0.492849518,0.570805928,0.924570889,0.946342447,0.900681768,0.867946324,1.311847733,1.348737304,1.297910002,1.363317247,1.232664757,1.135129566,1.091337666,1.148234158,1.202932087,1.147730803,1.100398059,1.177417187,1.266053984,1.164925879,1.186737936,1.277156726,0.895862287,1.017917239,0.929130014,0.978985319,0.692234868,0.652614451,0.786570571,0.719994616
A0A2K5WBX3,NF2,,0.317177494,,,0.593548693,0.826928745,1.086787678,1.327522075,,0.250479208,0.316831431,0.650464931,1.381127441,1.258337801,0.402417069,2.119812136,1.684400082,1.03618962,1.01529227,1.582783024,,1.253650772,1.119957111,,0.866230172,0.89490281,0.683622222,1.331537215,,,,
A0A2K5WF54,B2M,0.816143369,0.63103912,0.609737867,0.899130474,1.921599966,2.084870663,1.883311874,1.805741133,0.893097764,0.806576015,0.862023709,0.86810778,1.268703948,1.247426041,1.250278971,1.074429235,0.931418542,0.967955654,0.905018435,0.932847341,0.905882252,0.799063144,0.86234589,0.882372429,0.903047999,0.69344871,1.32734543,0.995957323,0.51678652,0.455371953,0.599124595,0.399795853
A0A2K5WS68,GSK3A,1.041651058,0.547576192,0.413997996,0.388948277,1.055745903,0.658495433,1.089158725,1.130907241,0.972321964,0.887140738,1.03958617,1.060509156,1.103539853,1.1800321,0.870974914,1.515369411,1.108552842,1.437019373,1.064313059,1.247067889,1.048354332,0.866942594,1.043313933,0.953762331,0.946784956,0.854827363,1.225541881,1.544192577,1.013723287,0.788492053,0.950460945,0.950695453
A0A2K5WSB8,GSN,0.941752443,0.908908727,0.918401429,0.932526714,0.751361433,0.709425475,0.66017507,0.694083643,0.94511994,0.94414913,1.022323605,0.995511047,1.261488716,1.551706298,1.381116778,1.358475669,0.813826989,0.693765096,0.739541821,0.790894636,1.793064833,2.048961248,1.961673293,2.00926422,0.718444906,0.737915715,0.761815843,0.806300178,0.519004127,0.555491414,0.518330628,0.555178935
A0A2K5WUX1,DHX9,0.56900576,0.725541124,0.696951639,0.589386066,1.147550965,1.090517843,1.034391866,1.265939769,1.129507438,1.082149993,0.980714859,0.904982695,1.056387723,0.887770985,0.913507612,1.054740117,1.348893831,1.423388689,1.294578938,1.563388695,0.781460349,1.015256881,0.812861021,1.010312461,0.789304106,0.576235672,1.065298897,1.129670917,1.144861585,0.999122205,1.000681661,0.915637639
A0A2K5WW04,ATG5,,,,1.063552612,0.833476037,0.747769439,0.901159308,0.889066964,1.349201309,1.190019152,1.221839128,1.019252416,0.852883966,0.818233667,0.692728591,0.891065116,1.29124551,1.079464951,1.013032288,1.161074163,1.099152621,1.207661655,1.093804627,1.19166939,1.006285588,0.934584857,0.952800947,0.904551464,,0.594424235,,
A0A2K5WXC4,SPAST,0.279332756,0.289522619,0.309736683,0.272018964,1.283843032,1.196868507,1.126684962,1.191789887,1.350332706,1.531129374,1.321738739,1.323210487,1.239030833,1.217690483,1.196266757,1.148931561,1.464657825,1.27280492,1.304762883,1.340055843,0.873663876,0.776010113,0.813648445,0.774096115,1.210114241,1.16336267,1.200729127,1.073074898,0.630865279,0.64289664,0.573521469,0.607607305
A0A2K5WXY8,HSPA5,1.111548285,1.025358487,1.151676227,1.159496259,0.406613137,0.385856322,0.388961846,0.393415052,0.783335003,0.793101332,0.861560657,0.7668952,1.307492495,1.146966471,1.145404999,1.178390709,0.606117377,0.523197804,0.551861751,0.595307427,1.390549845,1.454011191,1.392006797,1.325344908,0.994656391,0.936652281,1.127177262,1.091860429,1.478302698,1.390364559,1.573638037,1.562878763
A0A2K5WYX7,MTOR,0.675761337,0.967485467,0.565512096,0.827717013,1.084010635,0.822534982,1.179413769,1.20333575,1.062611801,0.817395535,1.068560357,0.928693426,0.930833309,1.008936392,1.05125232,0.947404098,0.907047068,0.783942557,0.976066292,0.868428028,1.801284113,2.126969576,2.208745592,1.983727804,0.850787298,0.742084415,0.725729212,0.982994298,0.350182337,0.341939527,0.708631437,0.499982159
A0A2K5X7X6,ADIPOQ,0.296287707,1.128836889,0.67791935,0.99128685,0.708549647,0.274118853,0.470344985,1.002251738,1.384487211,,,1.881405969,1.192964194,0.738176038,1.131272291,,1.087059513,0.853383584,1.342494182,0.820607902,1.501665388,1.229439457,0.665125121,0.932803729,2.173182046,2.246102827,1.024694621,0.733323824,0.56099029,0.793543331,0.684753349,0.472929115
A0A2K5X958,TFRC,0.925373393,1.065732296,1.010806836,0.988538134,1.088000998,0.93522079,0.993986318,1.043144744,1.1927919,1.145675966,1.048597549,0.984887527,1.218711209,1.040811128,1.082196995,1.088033345,0.832842061,0.851561819,0.887887668,0.939083963,0.983667578,0.918608218,0.960659512,1.081771861,1.091415933,0.998935432,1.011421432,1.028593147,0.818442958,0.890590965,0.98955938,0.862448945
